client_id,age,segment,region,anciennete_mois
185,35,Premium,Île-de-France,82
186,46,Standard,Île-de-France,41
187,43,Low-Value,Autres,103
188,37,Low-Value,Autres,41
189,27,Low-Value,Île-de-France,68
190,19,Churner,Hauts-de-France,55
191,32,Premium,Nouvelle-Aquitaine,22
192,48,Low-Value,Occitanie,62
193,40,Low-Value,Île-de-France,92
194,23,Premium,Autres,1
195,40,Low-Value,Nouvelle-Aquitaine,14
196,42,Standard,PACA,7
197,27,Standard,Nouvelle-Aquitaine,26
198,39,Standard,Grand Est,86
199,38,Standard,Hauts-de-France,11
200,24,Standard,Auvergne-Rhône-Alpes,70
201,42,Premium,Nouvelle-Aquitaine,36
202,44,Low-Value,Grand Est,78
203,50,Standard,Île-de-France,119
204,50,Standard,PACA,43
205,21,Standard,Hauts-de-France,38
206,26,Low-Value,Île-de-France,116
207,44,Standard,Autres,87
208,44,Standard,Nouvelle-Aquitaine,94
209,44,Low-Value,Autres,13
210,75,Standard,Île-de-France,30
211,44,Low-Value,Autres,16
212,51,Standard,PACA,106
213,49,Standard,Hauts-de-France,40
214,45,Low-Value,Occitanie,43
215,34,Churner,Occitanie,19
216,47,Low-Value,Grand Est,74
217,28,Premium,Autres,95
218,35,Standard,Nouvelle-Aquitaine,9
219,32,Standard,Occitanie,6
220,38,Low-Value,Île-de-France,81
221,65,Standard,Auvergne-Rhône-Alpes,84
222,18,Churner,Île-de-France,103
223,46,Premium,Île-de-France,88
224,18,Standard,PACA,92
225,32,Standard,Auvergne-Rhône-Alpes,20
226,51,Low-Value,Autres,36
227,38,Standard,Nouvelle-Aquitaine,51
228,25,Premium,Grand Est,53
229,29,Low-Value,Auvergne-Rhône-Alpes,9
230,46,Standard,Grand Est,88
231,29,Standard,Grand Est,25
232,40,Premium,Nouvelle-Aquitaine,77
233,38,Churner,Autres,33
234,30,Churner,Auvergne-Rhône-Alpes,88
235,63,Premium,Auvergne-Rhône-Alpes,72
236,45,Standard,Nouvelle-Aquitaine,113
237,18,Standard,PACA,59
238,40,Low-Value,Auvergne-Rhône-Alpes,61
239,30,Standard,Île-de-France,105
240,48,Standard,Île-de-France,58
241,28,Low-Value,Autres,41
242,36,Churner,Hauts-de-France,116
243,44,Low-Value,Île-de-France,104
244,48,Premium,Autres,32
245,23,Low-Value,PACA,108
246,33,Premium,PACA,42
247,32,Standard,Nouvelle-Aquitaine,73
248,30,Standard,PACA,68
249,59,Low-Value,Occitanie,59
250,42,Premium,PACA,44
251,22,Low-Value,Auvergne-Rhône-Alpes,6
252,49,Low-Value,Occitanie,92
253,63,Premium,Île-de-France,46
254,50,Premium,Île-de-France,77
255,19,Premium,Grand Est,11
256,32,Low-Value,Hauts-de-France,105
257,53,Premium,Grand Est,107
258,29,Premium,Occitanie,83
259,43,Premium,Nouvelle-Aquitaine,62
260,47,Standard,Grand Est,39
261,26,Standard,Île-de-France,31
262,37,Standard,Hauts-de-France,63
263,18,Churner,Occitanie,67
264,25,Low-Value,Île-de-France,74
265,34,Standard,Auvergne-Rhône-Alpes,80
266,23,Standard,Nouvelle-Aquitaine,29
267,57,Standard,Île-de-France,42
268,20,Low-Value,Auvergne-Rhône-Alpes,115
269,32,Standard,Île-de-France,30
270,39,Standard,Île-de-France,75
271,55,Standard,Autres,18
272,20,Low-Value,Nouvelle-Aquitaine,66
273,51,Standard,Autres,60
274,38,Low-Value,Grand Est,116
275,26,Premium,Île-de-France,97
276,43,Churner,Autres,111
277,40,Low-Value,Auvergne-Rhône-Alpes,13
278,30,Low-Value,Auvergne-Rhône-Alpes,101
279,38,Premium,Auvergne-Rhône-Alpes,109
280,33,Standard,Nouvelle-Aquitaine,29
281,39,Churner,Île-de-France,78
282,45,Churner,Grand Est,71
283,57,Standard,Île-de-France,68
284,23,Standard,Nouvelle-Aquitaine,83
285,63,Premium,Île-de-France,91
286,18,Standard,Hauts-de-France,97
287,36,Premium,Nouvelle-Aquitaine,50
288,45,Premium,Île-de-France,4
289,41,Standard,Nouvelle-Aquitaine,93
290,30,Standard,Auvergne-Rhône-Alpes,109
291,35,Churner,Autres,28
292,32,Standard,Occitanie,30
293,30,Standard,Grand Est,25
294,48,Churner,Île-de-France,110
295,42,Standard,Île-de-France,106
296,29,Premium,Île-de-France,19
297,48,Standard,Autres,93
298,41,Standard,Île-de-France,71
299,47,Low-Value,Nouvelle-Aquitaine,52
300,45,Low-Value,Île-de-France,110
301,28,Standard,PACA,105
302,31,Standard,Auvergne-Rhône-Alpes,79
303,46,Standard,Occitanie,110
304,45,Standard,Île-de-France,38
305,37,Premium,Nouvelle-Aquitaine,16
306,39,Churner,Île-de-France,19
307,53,Low-Value,Auvergne-Rhône-Alpes,18
308,30,Standard,Île-de-France,83
309,44,Standard,Nouvelle-Aquitaine,77
310,35,Standard,Autres,63
311,35,Standard,Auvergne-Rhône-Alpes,103
312,51,Low-Value,Autres,110
313,47,Standard,PACA,17
314,47,Standard,PACA,72
315,53,Standard,PACA,65
316,38,Low-Value,PACA,13
317,46,Low-Value,Île-de-France,47
318,34,Low-Value,Grand Est,114
319,41,Standard,Auvergne-Rhône-Alpes,28
320,36,Standard,Île-de-France,82
321,39,Low-Value,Grand Est,50
322,45,Standard,Occitanie,46
323,28,Low-Value,Île-de-France,106
324,63,Low-Value,Autres,57
325,25,Premium,Occitanie,40
326,23,Standard,Île-de-France,12
327,51,Standard,Nouvelle-Aquitaine,58
328,47,Standard,Autres,61
329,45,Churner,Île-de-France,95
330,45,Premium,Auvergne-Rhône-Alpes,103
331,37,Standard,Île-de-France,88
332,27,Churner,Île-de-France,60
333,38,Premium,Île-de-France,16
334,29,Standard,Nouvelle-Aquitaine,102
335,49,Standard,Grand Est,67
336,36,Low-Value,Île-de-France,17
337,28,Standard,PACA,54
338,34,Premium,Occitanie,95
339,42,Churner,Île-de-France,92
340,31,Standard,Occitanie,111
341,28,Low-Value,Nouvelle-Aquitaine,101
342,40,Standard,Île-de-France,110
343,40,Premium,Île-de-France,118
344,31,Low-Value,Auvergne-Rhône-Alpes,66
345,32,Premium,Auvergne-Rhône-Alpes,24
346,40,Standard,Auvergne-Rhône-Alpes,113
347,20,Low-Value,Hauts-de-France,100
348,21,Standard,Hauts-de-France,109
349,29,Low-Value,Autres,31
350,35,Premium,Île-de-France,44
351,41,Low-Value,Autres,103
352,55,Premium,Hauts-de-France,116
353,48,Low-Value,Hauts-de-France,4
354,36,Standard,Autres,93
355,37,Low-Value,Île-de-France,32
356,25,Standard,Grand Est,17
357,37,Standard,Occitanie,12
358,34,Low-Value,Île-de-France,83
359,41,Churner,PACA,2
360,28,Standard,Auvergne-Rhône-Alpes,15
361,44,Low-Value,Île-de-France,117
362,56,Premium,Occitanie,107
363,36,Standard,Nouvelle-Aquitaine,58
364,42,Churner,Île-de-France,21
365,46,Churner,PACA,52
366,33,Standard,Auvergne-Rhône-Alpes,35
367,40,Premium,Nouvelle-Aquitaine,64
368,38,Premium,Auvergne-Rhône-Alpes,119
369,39,Standard,Nouvelle-Aquitaine,71
370,28,Premium,Île-de-France,66
371,38,Standard,Nouvelle-Aquitaine,25
372,43,Premium,Île-de-France,107
373,55,Standard,Auvergne-Rhône-Alpes,103
374,49,Churner,Île-de-France,28
375,63,Standard,Auvergne-Rhône-Alpes,104
376,28,Premium,Grand Est,26
377,48,Standard,Nouvelle-Aquitaine,22
378,40,Churner,Auvergne-Rhône-Alpes,28
379,64,Standard,Occitanie,29
380,28,Standard,PACA,86
381,27,Churner,Auvergne-Rhône-Alpes,6
382,30,Standard,Grand Est,20
383,18,Low-Value,Île-de-France,45
384,31,Standard,Grand Est,17
385,28,Churner,Grand Est,54
386,39,Standard,Occitanie,28
387,42,Low-Value,Auvergne-Rhône-Alpes,84
388,60,Standard,Auvergne-Rhône-Alpes,84
389,49,Low-Value,Grand Est,58
390,31,Standard,Île-de-France,32
391,27,Churner,PACA,29
392,43,Standard,Île-de-France,14
393,22,Premium,Grand Est,41
394,59,Premium,Autres,79
395,52,Low-Value,Nouvelle-Aquitaine,25
396,32,Premium,PACA,109
397,18,Low-Value,Île-de-France,58
398,54,Standard,PACA,48
399,36,Standard,Hauts-de-France,1
400,52,Premium,Île-de-France,58
401,18,Standard,Nouvelle-Aquitaine,57
402,30,Standard,PACA,23
403,38,Low-Value,Île-de-France,107
404,38,Premium,Hauts-de-France,51
405,32,Standard,Grand Est,66
406,45,Standard,Auvergne-Rhône-Alpes,81
407,25,Low-Value,Auvergne-Rhône-Alpes,18
408,36,Standard,Île-de-France,36
409,39,Standard,Île-de-France,7
410,44,Churner,Autres,1
411,46,Low-Value,Hauts-de-France,105
412,24,Churner,Île-de-France,3
413,19,Standard,Autres,103
414,53,Premium,Île-de-France,103
415,41,Low-Value,Autres,7
416,29,Standard,Nouvelle-Aquitaine,4
417,56,Standard,Nouvelle-Aquitaine,58
418,39,Standard,Occitanie,111
419,52,Premium,Île-de-France,91
420,38,Premium,Hauts-de-France,70
421,62,Standard,Hauts-de-France,38
422,59,Low-Value,Occitanie,87
423,35,Premium,Autres,86
424,49,Premium,Nouvelle-Aquitaine,83
425,45,Low-Value,PACA,14
426,54,Standard,Auvergne-Rhône-Alpes,44
427,26,Churner,Autres,95
428,46,Standard,Autres,57
429,50,Low-Value,Nouvelle-Aquitaine,14
430,18,Standard,PACA,66
431,23,Premium,Île-de-France,92
432,18,Low-Value,Hauts-de-France,101
433,34,Churner,Île-de-France,73
434,46,Low-Value,Autres,5
435,56,Low-Value,PACA,67
436,38,Premium,Autres,68
437,57,Low-Value,PACA,6
438,21,Standard,Île-de-France,83
439,18,Standard,Nouvelle-Aquitaine,101
440,37,Standard,Occitanie,30
441,42,Standard,Grand Est,115
442,37,Low-Value,Occitanie,32
443,18,Standard,Nouvelle-Aquitaine,5
444,36,Standard,PACA,27
445,22,Premium,Hauts-de-France,56
446,46,Low-Value,PACA,30
447,42,Premium,Nouvelle-Aquitaine,37
448,26,Premium,PACA,56
449,31,Premium,Autres,55
450,25,Premium,Île-de-France,119
451,37,Standard,Île-de-France,6
452,49,Standard,Occitanie,56
453,26,Standard,Île-de-France,98
454,44,Premium,Île-de-France,96
455,31,Churner,Hauts-de-France,42
456,28,Premium,Auvergne-Rhône-Alpes,82
457,36,Low-Value,Île-de-France,34
458,25,Standard,Occitanie,106
459,31,Standard,Île-de-France,113
460,23,Premium,Nouvelle-Aquitaine,43
461,61,Standard,Île-de-France,68
462,38,Low-Value,Île-de-France,8
463,29,Standard,Île-de-France,25
464,40,Standard,PACA,40
465,36,Standard,PACA,3
466,35,Standard,Auvergne-Rhône-Alpes,93
467,45,Low-Value,Île-de-France,24
468,47,Low-Value,Autres,76
469,31,Standard,PACA,109
470,31,Low-Value,Île-de-France,13
471,34,Standard,Île-de-France,4
472,18,Standard,Île-de-France,116
473,19,Low-Value,Autres,70
474,54,Standard,Autres,34
475,57,Low-Value,Île-de-France,115
476,35,Standard,Île-de-France,115
477,44,Standard,Île-de-France,89
478,41,Low-Value,Île-de-France,26
479,74,Premium,Autres,89
480,51,Standard,Île-de-France,30
481,36,Premium,Auvergne-Rhône-Alpes,31
482,26,Premium,Île-de-France,60
483,18,Standard,Hauts-de-France,24
484,40,Standard,Île-de-France,113
485,28,Standard,Île-de-France,50
486,20,Churner,Autres,40
487,30,Standard,Île-de-France,102
488,25,Standard,Île-de-France,82
489,58,Standard,Nouvelle-Aquitaine,2
490,48,Premium,Occitanie,37
491,37,Low-Value,PACA,95
492,55,Standard,Île-de-France,47
493,38,Standard,Auvergne-Rhône-Alpes,81
494,27,Premium,Auvergne-Rhône-Alpes,66
495,56,Standard,Grand Est,35
496,44,Low-Value,Auvergne-Rhône-Alpes,87
497,25,Premium,Île-de-France,116
498,35,Standard,Occitanie,34
499,27,Standard,Île-de-France,90
500,21,Low-Value,Grand Est,24
501,49,Low-Value,Île-de-France,51
502,60,Low-Value,Grand Est,18
503,21,Churner,Autres,32
504,44,Churner,Île-de-France,3
505,30,Standard,Île-de-France,8
506,32,Standard,PACA,52
507,30,Low-Value,Île-de-France,117
508,27,Standard,Nouvelle-Aquitaine,97
509,38,Premium,Île-de-France,21
510,28,Standard,Nouvelle-Aquitaine,3
511,41,Low-Value,Île-de-France,14
512,37,Premium,Île-de-France,34
513,35,Low-Value,Île-de-France,111
514,27,Low-Value,Île-de-France,62
515,31,Premium,Auvergne-Rhône-Alpes,60
516,47,Premium,Île-de-France,68
517,44,Premium,Grand Est,6
518,26,Standard,Nouvelle-Aquitaine,86
519,39,Standard,Auvergne-Rhône-Alpes,39
520,47,Standard,Auvergne-Rhône-Alpes,52
521,18,Low-Value,Île-de-France,25
522,44,Premium,Nouvelle-Aquitaine,53
523,30,Low-Value,Occitanie,5
524,44,Standard,Autres,23
525,28,Low-Value,Hauts-de-France,107
526,18,Standard,Occitanie,89
527,18,Standard,Île-de-France,78
528,38,Premium,Occitanie,110
529,41,Premium,Nouvelle-Aquitaine,33
530,27,Standard,Autres,57
531,45,Standard,PACA,89
532,18,Premium,Nouvelle-Aquitaine,80
533,37,Low-Value,Île-de-France,34
534,23,Churner,PACA,30
535,30,Standard,Auvergne-Rhône-Alpes,15
536,38,Premium,Auvergne-Rhône-Alpes,90
537,27,Low-Value,Hauts-de-France,91
538,33,Standard,Auvergne-Rhône-Alpes,85
539,50,Low-Value,Auvergne-Rhône-Alpes,74
540,31,Standard,Nouvelle-Aquitaine,71
541,48,Premium,Hauts-de-France,8
542,24,Standard,Autres,116
543,44,Standard,Île-de-France,39
544,55,Low-Value,Île-de-France,96
545,18,Premium,Autres,58
546,28,Standard,Occitanie,88
547,44,Premium,Île-de-France,22
548,35,Standard,Autres,3
549,42,Standard,Auvergne-Rhône-Alpes,50
550,30,Churner,Occitanie,117
551,39,Low-Value,Auvergne-Rhône-Alpes,20
552,36,Low-Value,Île-de-France,32
553,52,Premium,Occitanie,100
554,41,Standard,Île-de-France,30
555,42,Standard,Île-de-France,116
556,33,Premium,Grand Est,118
557,32,Low-Value,Hauts-de-France,5
558,32,Low-Value,Autres,68
559,42,Premium,Nouvelle-Aquitaine,28
560,32,Low-Value,Nouvelle-Aquitaine,9
561,41,Premium,Île-de-France,33
562,62,Premium,Auvergne-Rhône-Alpes,68
563,48,Premium,Île-de-France,39
564,34,Standard,Auvergne-Rhône-Alpes,98
565,52,Low-Value,Auvergne-Rhône-Alpes,98
566,33,Premium,Île-de-France,57
567,18,Low-Value,Grand Est,16
568,25,Premium,Auvergne-Rhône-Alpes,32
569,18,Churner,Île-de-France,51
570,33,Low-Value,Auvergne-Rhône-Alpes,107
571,38,Low-Value,Occitanie,60
572,58,Standard,Nouvelle-Aquitaine,112
573,41,Standard,Occitanie,22
574,35,Premium,Autres,2
575,47,Standard,Île-de-France,8
576,18,Standard,PACA,88
577,40,Low-Value,Auvergne-Rhône-Alpes,78
578,47,Premium,Auvergne-Rhône-Alpes,28
579,20,Standard,Occitanie,68
580,51,Low-Value,Occitanie,98
581,42,Standard,Île-de-France,91
582,33,Low-Value,Hauts-de-France,34
583,45,Standard,Île-de-France,5
584,65,Premium,Auvergne-Rhône-Alpes,58
585,40,Premium,Nouvelle-Aquitaine,103
586,40,Standard,Hauts-de-France,13
587,32,Premium,PACA,66
588,27,Standard,PACA,38
589,47,Churner,Nouvelle-Aquitaine,105
590,27,Low-Value,Île-de-France,51
591,38,Standard,Hauts-de-France,17
592,32,Low-Value,Autres,87
593,43,Churner,Grand Est,94
594,42,Standard,Nouvelle-Aquitaine,92
595,50,Churner,Nouvelle-Aquitaine,59
596,31,Churner,Autres,104
597,34,Low-Value,Île-de-France,106
598,26,Standard,Occitanie,79
599,32,Standard,Île-de-France,88
600,42,Standard,Île-de-France,32
601,47,Churner,Auvergne-Rhône-Alpes,2
602,26,Premium,Île-de-France,49
603,48,Low-Value,Île-de-France,14
604,54,Premium,Grand Est,93
605,42,Premium,Grand Est,71
606,60,Churner,Hauts-de-France,93
607,28,Low-Value,PACA,59
608,23,Standard,Île-de-France,6
609,18,Churner,Île-de-France,36
610,55,Low-Value,Occitanie,47
611,45,Churner,Autres,16
612,37,Standard,Hauts-de-France,29
613,41,Churner,Île-de-France,59
614,24,Low-Value,Île-de-France,92
615,67,Churner,Auvergne-Rhône-Alpes,115
616,39,Standard,Hauts-de-France,79
617,39,Standard,Hauts-de-France,7
618,46,Low-Value,Occitanie,18
619,43,Standard,Île-de-France,30
620,40,Low-Value,PACA,54
621,28,Churner,Hauts-de-France,22
622,43,Low-Value,Île-de-France,16
623,60,Standard,Nouvelle-Aquitaine,116
624,54,Premium,Île-de-France,35
625,57,Standard,Hauts-de-France,91
626,31,Low-Value,Île-de-France,2
627,26,Premium,Île-de-France,31
628,36,Premium,Nouvelle-Aquitaine,105
629,38,Standard,Île-de-France,28
630,51,Low-Value,Île-de-France,106
631,18,Premium,Île-de-France,30
632,56,Premium,PACA,112
633,36,Standard,Autres,37
634,32,Premium,Nouvelle-Aquitaine,49
635,25,Standard,Hauts-de-France,114
636,18,Premium,Île-de-France,42
637,47,Standard,Grand Est,94
638,38,Premium,Nouvelle-Aquitaine,110
639,22,Churner,Nouvelle-Aquitaine,28
640,22,Premium,Grand Est,91
641,33,Churner,Île-de-France,2
642,58,Low-Value,Nouvelle-Aquitaine,117
643,34,Low-Value,Occitanie,105
644,19,Premium,Occitanie,119
645,35,Low-Value,Hauts-de-France,71
646,34,Low-Value,Hauts-de-France,71
647,18,Standard,Grand Est,53
648,37,Standard,Autres,44
649,35,Premium,Île-de-France,83
650,46,Standard,Auvergne-Rhône-Alpes,105
651,60,Premium,Auvergne-Rhône-Alpes,97
652,51,Churner,PACA,54
653,34,Low-Value,Auvergne-Rhône-Alpes,98
654,24,Premium,Île-de-France,115
655,68,Standard,Île-de-France,108
656,38,Standard,Autres,89
657,38,Premium,Autres,31
658,37,Low-Value,Île-de-France,39
659,40,Premium,Autres,61
660,36,Standard,Autres,104
661,31,Standard,Hauts-de-France,73
662,31,Standard,Île-de-France,38
663,37,Standard,Île-de-France,87
664,31,Low-Value,Île-de-France,56
665,29,Standard,Île-de-France,12
666,39,Low-Value,Grand Est,94
667,34,Low-Value,Auvergne-Rhône-Alpes,6
668,56,Premium,Hauts-de-France,48
669,18,Premium,PACA,14
670,51,Low-Value,Nouvelle-Aquitaine,96
671,52,Standard,Île-de-France,69
672,18,Low-Value,Nouvelle-Aquitaine,75
673,33,Standard,Île-de-France,72
674,33,Low-Value,Grand Est,92
675,21,Premium,Grand Est,114
676,28,Low-Value,Autres,12
677,24,Low-Value,Grand Est,88
678,59,Standard,Hauts-de-France,101
679,49,Standard,Auvergne-Rhône-Alpes,64
680,53,Standard,Nouvelle-Aquitaine,50
681,46,Standard,Île-de-France,20
682,24,Standard,Hauts-de-France,48
683,31,Low-Value,Grand Est,17
684,43,Churner,Hauts-de-France,16
685,23,Low-Value,Autres,57
686,46,Standard,Autres,92
687,35,Low-Value,Hauts-de-France,106
688,33,Premium,PACA,100
689,46,Standard,Auvergne-Rhône-Alpes,74
690,43,Standard,Île-de-France,95
691,33,Churner,Grand Est,44
692,51,Standard,Hauts-de-France,16
693,25,Premium,Autres,103
694,45,Premium,Île-de-France,22
695,45,Low-Value,PACA,118
696,34,Standard,Île-de-France,29
697,41,Low-Value,Nouvelle-Aquitaine,26
698,22,Standard,Nouvelle-Aquitaine,116
699,49,Standard,Île-de-France,87
700,35,Low-Value,Grand Est,61
701,31,Standard,Île-de-France,75
702,50,Low-Value,Autres,48
703,29,Low-Value,Occitanie,10
704,21,Low-Value,Île-de-France,35
705,19,Low-Value,Hauts-de-France,110
706,45,Low-Value,Autres,55
707,22,Low-Value,PACA,116
708,59,Churner,Île-de-France,101
709,18,Premium,Auvergne-Rhône-Alpes,53
710,58,Churner,Île-de-France,25
711,40,Premium,PACA,104
712,36,Standard,Île-de-France,107
713,31,Low-Value,PACA,28
714,42,Standard,Île-de-France,77
715,37,Standard,PACA,51
716,51,Standard,Nouvelle-Aquitaine,39
717,39,Standard,Grand Est,100
718,39,Premium,Nouvelle-Aquitaine,15
719,33,Premium,Île-de-France,119
720,37,Standard,Hauts-de-France,113
721,41,Low-Value,Auvergne-Rhône-Alpes,2
722,18,Low-Value,Île-de-France,57
723,21,Standard,Grand Est,31
724,46,Churner,PACA,16
725,40,Standard,Île-de-France,28
726,35,Premium,Autres,35
727,38,Churner,Île-de-France,73
728,42,Standard,PACA,31
729,31,Churner,Île-de-France,31
730,28,Standard,Nouvelle-Aquitaine,46
731,40,Low-Value,Île-de-France,55
732,26,Premium,Occitanie,5
733,42,Low-Value,Île-de-France,43
734,18,Premium,Nouvelle-Aquitaine,105
735,50,Premium,Île-de-France,52
736,43,Premium,Autres,104
737,41,Standard,Grand Est,110
738,49,Standard,Île-de-France,109
739,57,Churner,Autres,92
740,50,Low-Value,Autres,66
741,18,Low-Value,Hauts-de-France,45
